,mutant,strain,videoname,start_time,peak_time
0,ABC,MXAN_0251,ABC Transporters--MXAN_0251--MXAN_0251-mic4-01.23.13,370,820
1,ABC,MXAN_0251,ABC Transporters--MXAN_0251--MXAN_0251-mic5-01.23.13,340,440
2,ABC,MXAN_0251,ABC Transporters--MXAN_0251--MXAN_0251-mic7-01.23.13,620,900
3,ABC,MXAN_0251,ABC Transporters--MXAN_0251--test,640,890
4,ABC,MXAN_0553,ABC Transporters--MXAN_0553--MXAN_0553-mic-4,600,880
5,ABC,MXAN_0553,ABC Transporters--MXAN_0553--MXAN_0553-mic-8,640,1260
6,ABC,MXAN_0553,ABC Transporters--MXAN_0553--test,700,900
7,ABC,MXAN_0554,ABC Transporters--MXAN_0554--MXAN_0554-mic4-5.24.12,600,770
8,ABC,MXAN_0554,ABC Transporters--MXAN_0554--MXAN_0554-mic7-5.24.12,630,780
9,ABC,MXAN_0554,ABC Transporters--MXAN_0554--test,740,960
11,ABC,MXAN_0559,ABC Transporters--MXAN_0559--MXAN_0559-mic6-5.16.12,0,1410
12,ABC,MXAN_0559,ABC Transporters--MXAN_0559--MXAN_0559-mic8-5.16.12,0,950
13,ABC,MXAN_0559,ABC Transporters--MXAN_0559--test,0,1190
15,ABC,MXAN_0596,ABC Transporters--MXAN_0596--MXAN_0596-mic3-2.16.12,570,780
16,ABC,MXAN_0596,ABC Transporters--MXAN_0596--MXAN_0596-mic6-2.16.12,700,1440
17,ABC,MXAN_0596,ABC Transporters--MXAN_0596--MXAN_0596-mic8-2.16.12,750,1440
18,ABC,MXAN_0596,ABC Transporters--MXAN_0596--test,590,750
20,ABC,MXAN_0597,ABC Transporters--MXAN_0597--MXAN_0597-mic5-2.22.12,430,890
21,ABC,MXAN_0597,ABC Transporters--MXAN_0597--MXAN_0597-mic6-2.22.12,430,910
22,ABC,MXAN_0597,ABC Transporters--MXAN_0597--MXAN_0597-mic7-2.22.12,510,990
23,ABC,MXAN_0597,ABC Transporters--MXAN_0597--test,860,1100
24,ABC,MXAN_0622,ABC Transporters--MXAN_0622--MXAN_0622-mic3-5.24.12,400,750
25,ABC,MXAN_0622,ABC Transporters--MXAN_0622--MXAN_0622-mic6-5.24.12,380,700
26,ABC,MXAN_0622,ABC Transporters--MXAN_0622--MXAN_0622-mic8-5.24.12,390,680
27,ABC,MXAN_0622,ABC Transporters--MXAN_0622--test,360,660
28,ABC,MXAN_0751,ABC Transporters--MXAN_0629--MXAN_0751--MXAN_0751-mic-5,610,910
29,ABC,MXAN_0751,ABC Transporters--MXAN_0629--MXAN_0751--MXAN_0751-mic-7,490,830
30,ABC,MXAN_0751,ABC Transporters--MXAN_0629--MXAN_0751--test,410,740
31,ABC,MXAN_0629,ABC Transporters--MXAN_0629--MXAN_0629-mic3-9.24.13,540,870
32,ABC,MXAN_0629,ABC Transporters--MXAN_0629--MXAN_0629-mic6-9.24.13,540,910
34,ABC,MXAN_0684,ABC Transporters--MXAN_0629--MXAN_0684--MXAN_0684-mic3-5.18.12,1270,1440
35,ABC,MXAN_0684,ABC Transporters--MXAN_0629--MXAN_0684--MXAN_0684-mic6-5.18.12,1120,1440
36,ABC,MXAN_0684,ABC Transporters--MXAN_0629--MXAN_0684--MXAN_0684-mic8-5.18.12,1280,1440
37,ABC,MXAN_0684,ABC Transporters--MXAN_0629--MXAN_0684--test,1190,1440
39,ABC,MXAN_0685,ABC Transporters--MXAN_0629--MXAN_0685--MXAN_0685-mic7-2.17.12,0,930
41,ABC,MXAN_0686,ABC Transporters--MXAN_0629--MXAN_0686--MXAN_0686-mic3-4.16.13,570,780
42,ABC,MXAN_0686,ABC Transporters--MXAN_0629--MXAN_0686--MXAN_0686-mic6-4.16.13,440,640
43,ABC,MXAN_0686,ABC Transporters--MXAN_0629--MXAN_0686--MXAN_0686-mic8-4.16.13,470,930
44,ABC,MXAN_0686,ABC Transporters--MXAN_0629--MXAN_0686--test,460,950
45,ABC,MXAN_0687,ABC Transporters--MXAN_0629--MXAN_0687--MXAN_0687-mic6-2.28.12,590,1190
46,ABC,MXAN_0687,ABC Transporters--MXAN_0629--MXAN_0687--MXAN_0687-mic7-2.28.12,1180,1330
47,ABC,MXAN_0687,ABC Transporters--MXAN_0629--MXAN_0687--test,1030,1290
48,ABC,MXAN_0696,ABC Transporters--MXAN_0629--MXAN_0696--MXAN_0696-mic3-4.17.13,400,1040
49,ABC,MXAN_0696,ABC Transporters--MXAN_0629--MXAN_0696--MXAN_0696-mic6-4.17.13,370,810
50,ABC,MXAN_0696,ABC Transporters--MXAN_0629--MXAN_0696--MXAN_0696-mic8-4.17.13,370,460
51,ABC,MXAN_0696,ABC Transporters--MXAN_0629--MXAN_0696--test,390,820
52,ABC,MXAN_0721,ABC Transporters--MXAN_0629--MXAN_0721--MXAN_0721-mic6-2.24.12,540,860
53,ABC,MXAN_0721,ABC Transporters--MXAN_0629--MXAN_0721--MXAN_0721-mic7-2.24.12,580,920
54,ABC,MXAN_0721,ABC Transporters--MXAN_0629--MXAN_0721--test,460,850
55,ABC,MXAN_0721,ABC Transporters--MXAN_0629--MXAN_0721--test0,420,520
56,ABC,MXAN_0722,ABC Transporters--MXAN_0629--MXAN_0722--MXAN_0722-mic3-3.25.13,580,1440
57,ABC,MXAN_0722,ABC Transporters--MXAN_0629--MXAN_0722--MXAN_0722-mic6-3.25.13,1390,1440
58,ABC,MXAN_0722,ABC Transporters--MXAN_0629--MXAN_0722--test,530,600
59,ABC,MXAN_0770,ABC Transporters--MXAN_0629--MXAN_0770--MXAN_0770-mic3-3.21.13,620,1240
60,ABC,MXAN_0770,ABC Transporters--MXAN_0629--MXAN_0770--MXAN_0770-mic6-3.21.13,470,750
61,ABC,MXAN_0770,ABC Transporters--MXAN_0629--MXAN_0770--MXAN_0770-mic8-3.21.13,420,840
62,ABC,MXAN_0770,ABC Transporters--MXAN_0629--MXAN_0770--test,410,820
63,ABC,MXAN_0771,ABC Transporters--MXAN_0629--MXAN_0771--MXAN_0771-mic4-3.9.12,420,830
64,ABC,MXAN_0771,ABC Transporters--MXAN_0629--MXAN_0771--MXAN_0771-mic6-3.9.12,460,870
65,ABC,MXAN_0771,ABC Transporters--MXAN_0629--MXAN_0771--MXAN_0771-mic8-3.9.12,450,850
66,ABC,MXAN_0771,ABC Transporters--MXAN_0629--MXAN_0771--test,430,890
